city,state,welcoming_america
Anchorage,AL,1
Fayetteville ,AR,1
Anaheim,CA,1
Chula Vista,CA,1
Long Beach,CA,1
San Diego,CA,1
San Francisco,CA,1
Santa Clara,CA,1
Denver,CO,1
Washington,DC,1
Delray Beach,FL,1
Gainesville,FL,1
Atlanta,GA,1
Brookhaven,GA,1
Clarkston,GA,1
Decatur,GA,1
Doraville,GA,1
East Point,GA,1
Norcross,GA,1
Stockbridge,GA,1
Iowa City,IA,1
Boise,ID,1
Champaign,IL,1
Chicago,IL,1
Evanston,IL,1
Bowling Green,KY,1
Louisville,KY,1
Boston,MA,1
Cambridge,MA,1
Baltimore,MD,1
Portland,ME,1
Ann Arbor,MI,1
Clinton Township,MI,1
Detroit,MI,1
Kalamazoo,MI,1
Lansing,MI,1
Pleasant Ridge,MI,1
Sterling Heights,MI,1
Austin,MN,1
Fargo,MN,1
Grand Forks,MN,1
Minneapolis,MN,1
Winona,MN,1
St. Louis ,MO,1
Charlotte,NC,1
Greensboro,NC,1
High Point,NC,1
Salisbury,NC,1
Concord,NH,1
Manchester,NH,1
Nashua,NH,1
Princeton,NJ,1
Santa Fe,NM,1
New York,NY,1
Akron,OH,1
Cincinatti,OH,1
Columbus,OH,1
Dayton,OH,1
Toledo,OH,1
Tulsa,OK,1
Beaverton,OR,1
Erie,PA,1
Harrisburg,PA,1
Philadelphia,PA,1
Pittsburgh,PA,1
York,PA,1
Knoxville,TN,1
Nashville,TN,1
Dallas,TX,1
Houston,TX,1
Salt Lake City,UT,1
Alexandria,VA,1
Charlottesville,VA,1
Harrisonburg,VA,1
Richmond,VA,1
Roanoke,VA,1
Bellevue,WA,1
Kirkland,WA,1
Seattle,WA,1
Tacoma,WA,1
